"","Delta_e","log_e","log_P","h"
"1",0.00601910937352575,0.00149850925286111,0.00451921971739954,1
"2",-0.000210633490549618,0.00131583144496366,0.00448627871394653,2
"3",-0.00193390135436172,0.0010012793511736,0.00284172008332158,3
"4",-0.00090143958998249,0.000673476783537033,0.00225177436785187,4
"5",-0.000341454019669949,0.00047236225573718,0.00210677204773712,5
"6",-0.000401315700133369,0.000350003182515688,0.00182940549138381,6
"7",-0.000454556398997171,0.000255125069844953,0.00147524381690742,7
"8",-0.000383904280792756,0.000178560189005752,0.00117685292303916,8
"9",-0.000301543728938329,0.000121461032883739,0.000943945204945415,9
"10",-0.00024877987616215,8.02256891852368e-05,0.00074940121791468,10
"11",-0.000209266209267212,4.99961755532803e-05,0.000583927315592742,11
"12",-0.000172128733325074,2.77514526862014e-05,0.000447557004534384,12
"13",-0.000138712354807868,1.17414100759136e-05,0.000337889495129259,13
"14",-0.000110894884009416,5.71486129393242e-07,0.00025041671425468,14
"15",-8.80906207374689e-05,-6.95632951682682e-06,0.000181131038749843,15
"16",-6.92330743231282e-05,-1.17789170593728e-05,0.000126923112677721,16
"17",-5.37046622274856e-05,-1.46006068996824e-05,8.51373723505479e-05,17
"18",-4.10896136459882e-05,-1.59623389378365e-05,5.34188448580186e-05,18
"19",-3.09593699583989e-05,-1.62852350952563e-05,2.97544022912011e-05,19
"20",-2.28954795871726e-05,-1.58932487297747e-05,1.24737321896364e-05,20
"21",-1.65368301959507e-05,-1.503140010173e-05,2.0111444590915e-07,21
